Cluster,Node,Coordinates
2,AMC,[0.96776274 0.03403387]
2,AMR,[0.97131096 0.03754186]
2,ANR,[ 0.92720522 -0.00757397]
2,AOK,[ 0.86500816 -0.02805025]
2,APA,[0.94836051 0.01072078]
2,ARR,[ 0.89109264 -0.05391907]
2,ARS,[ 0.89021499 -0.0240009 ]
2,ARW,[ 0.85809618 -0.0735618 ]
2,ARZC,[ 0.9053822  -0.01105075]
2,AS,[ 0.94020204 -0.00411413]
2,ATCX,[ 0.90429805 -0.01398765]
2,ATSF,[ 0.87422192 -0.05345599]
2,AUAR,[ 0.89439811 -0.01636561]
2,AUNW,[ 0.92341457 -0.00966075]
2,AWRR,[ 0.89129668 -0.01792754]
2,AZER,[ 0.89442321 -0.01387354]
2,BAP,[ 0.52846724 -0.23024252]
2,BLMR,[ 0.70385265 -0.15449976]
2,BLR,[ 0.89430353 -0.01652169]
2,BNG,[ 0.86701403 -0.02714892]
2,BNSF,[ 0.75257989 -0.08415381]
2,BRG,[ 0.91266663 -0.01463173]
2,BRS,[ 0.73986018 -0.14297546]
2,BSR,[ 0.89503793 -0.01632294]
2,BVRR,[ 0.90421597 -0.00627744]
2,BVS,[ 0.66354953 -0.19466184]
2,CBRM,[ 0.72026054 -0.12678634]
2,CBRW,[ 0.80010631 -0.06032866]
2,CBRY,[0.94984131 0.01340145]
2,CCPN,[ 0.89160799 -0.01836557]
2,CCT,[0.93979191 0.01220133]
2,CEDR,[ 0.63995248 -0.12086544]
2,CFNR,[ 0.85441359 -0.03708794]
2,CHCX,[ 0.81045764 -0.05569727]
2,CHRC,[ 0.92515182 -0.00701251]
2,CHWE,[ 0.70872114 -0.15516438]
2,CKRY,[ 0.87248504 -0.03835192]
2,CLC,[ 0.65699301 -0.17493165]
2,CLK,[ 0.82202406 -0.08867429]
2,CMLR,[0.95202834 0.04537247]
2,CMR,[ 0.65372337 -0.16330672]
2,CMTY,[ 0.89482484 -0.0154823 ]
2,COE,[ 0.82134054 -0.08652123]
2,COP,[ 0.90676457 -0.02420874]
2,CORP,[ 0.87354756 -0.0256467 ]
2,CRLX,[ 0.92645109 -0.00593018]
2,CS,[ 0.74872039 -0.09990826]
2,CSCD,[ 0.81151931 -0.0531064 ]
2,CSP,[ 0.85638697 -0.05097819]
2,CT,[ 0.67714202 -0.15423035]
2,CTSR,[ 0.88673507 -0.01548506]
2,CTXR,[ 0.89215489 -0.01783936]
2,CVR,[ 0.87227984 -0.02329152]
2,CW,[ 0.85658307 -0.05722497]
2,CWA,[ 0.81101275 -0.05520175]
2,CWR,[0.94333804 0.01285072]
2,CYCY,[ 0.92248233 -0.00981385]
2,DART,[ 0.89675771 -0.0129398 ]
2,DCTA,[ 0.89476259 -0.01559561]
2,DE,[ 0.87045552 -0.02588575]
2,DGNO,[ 0.90722573 -0.01065005]
2,DMVW,[ 0.59164108 -0.0661568 ]
2,DQE,[ 0.86183083 -0.06870061]
2,DR,[ 0.87886263 -0.04156758]
2,DRGW,[ 0.84306292 -0.06396615]
2,DRIR,[ 0.86942256 -0.02501158]
2,DSNG,[ 0.83525569 -0.06682477]
2,DSRR,[ 0.84049573 -0.0818964 ]
2,DTMR,[ 0.8240843  -0.08408962]
2,EACH,[ 0.87313654 -0.05617621]
2,EDW,[ 0.86654456 -0.06941113]
2,EE,[0.62283901 0.33886689]
2,EERZ,[ 0.59260953 -0.12757601]
2,EIRR,[ 0.88024317 -0.02608405]
2,ENIC,[ 0.84331659 -0.08682829]
2,ETC,[ 0.88114027 -0.04026591]
2,EUKA,[0.94115767 0.00901708]
2,EWG,[ 0.78034727 -0.07154863]
2,FEVR,[ 0.751008   -0.12773077]
2,FMRC,[ 0.85681016 -0.05476165]
2,FP,[ 0.86949791 -0.05789658]
2,FSR,[ 0.88404085 -0.03432354]
2,FWD,[ 0.93908916 -0.00452339]
2,FWWR,[ 0.90767644 -0.01128361]
2,GCRX,[ 0.8636763  -0.02132946]
2,GCSR,[ 0.8971419 -0.0151239]
2,GCW,[ 0.87539439 -0.04268006]
2,GHH,[ 0.94024033 -0.00391386]
2,GNA,[ 0.86206264 -0.0707076 ]
2,GNBC,[ 0.86185882 -0.04881348]
2,GRNW,[ 0.79551433 -0.06057975]
2,GRR,[ 0.92393356 -0.01328115]
2,GRRM,[ 0.89241896 -0.01759905]
2,GRVV,[ 0.87650159 -0.02813662]
2,GSW,[ 0.93489536 -0.00942513]
2,GVSR,[ 0.91616919 -0.01060662]
2,GWF,[ 0.93694049 -0.00684136]
2,GWR,[ 0.85143509 -0.05630278]
2,HBL,[0.96866219 0.03536743]
2,HBT,[ 0.93259281 -0.007868  ]
2,HE,[ 0.85507805 -0.0762129 ]
2,HVRX,[ 0.90516397 -0.00446863]
2,IANW,[ 0.69955353 -0.11365342]
2,IARR,[ 0.62476994 -0.13947408]
2,INPR,[ 0.89627825 -0.01334974]
2,ITSL,[ 0.89119501 -0.01826942]
2,JCAX,[ 0.8806329  -0.01494624]
2,JSRC,[ 0.63629101 -0.18386782]
2,KAW,[ 0.82767271 -0.06072463]
2,KCS,[ 0.80395533 -0.10713383]
2,KCT,[ 0.76016372 -0.13857654]
2,KFR,[ 0.82210136 -0.04610268]
2,KO,[ 0.87445608 -0.02263104]
2,KRR,[ 0.87475472 -0.03982697]
2,KSW,[ 0.87673022 -0.0373064 ]
2,KYLE,[ 0.87643479 -0.03737594]
2,LA,[ 0.85041028 -0.08730228]
2,LACZ,[ 0.8449241  -0.03790874]
2,LAJ,[0.95635069 0.0240665 ]
2,LAS,[ 0.73760269 -0.14231091]
2,LBWR,[ 0.88933431 -0.02060856]
2,LCHD,[ 0.73772574 -0.14055522]
2,LDRR,[ 0.77114388 -0.13055817]
2,LHRR,[ 0.91364785 -0.00907908]
2,LINC,[ 0.73164277 -0.13656812]
2,LNW,[ 0.80453559 -0.11972847]
2,LOAM,[ 0.7671074  -0.15186288]
2,LPN,[ 0.74984172 -0.1341895 ]
2,LRPA,[ 0.8898549  -0.02415622]
2,LRWN,[ 0.8685279  -0.05545301]
2,LS,[ 0.65169129 -0.17743301]
2,LSMR,[ 0.62370146 -0.10364208]
2,LSO,[ 0.70489108 -0.1854917 ]
2,MAA,[0.95212072 0.01458095]
2,MCCP,[ 0.87427588 -0.02647724]
2,MCR,[0.96215114 0.02814153]
2,MCSA,[ 0.92847829 -0.01580199]
2,MCTA,[ 0.5994113  -0.15042512]
2,MDR,[ 0.81955644 -0.10535009]
2,MDRY,[ 0.88245205 -0.01578096]
2,MET,[0.94149002 0.01379622]
2,MH,[ 0.9033012  -0.02490745]
2,MKT,[ 0.91129066 -0.02983682]
2,MMT,[ 0.83635928 -0.04225573]
2,MNA,[ 0.78970768 -0.09457852]
2,MNN,[0.66632193 0.03797912]
2,MOC,[ 0.63258522 -0.16839177]
2,MP,[ 0.79982568 -0.11565158]
2,MPLI,[0.63875988 0.12029455]
2,MRL,[ 0.7806013  -0.09069452]
2,MRS,[ 0.6245872  -0.20438251]
2,MSWY,[ 0.6627171  -0.10462014]
2,MWRR,[ 0.83564207 -0.05030558]
2,NCRC,[ 0.84497511 -0.04427103]
2,NCRR,[ 0.90784481 -0.01546517]
2,NCTC,[ 0.82715823 -0.04908108]
2,NCTR,[ 0.92044325 -0.02341953]
2,NCTS,[ 0.82194643 -0.05134893]
2,NECX,[ 0.78794445 -0.10627508]
2,NEKM,[ 0.88069775 -0.03285138]
2,NENE,[ 0.86296765 -0.02857048]
2,NEZP,[ 0.84409346 -0.06178012]
2,NKCR,[ 0.86455947 -0.0277196 ]
2,NLC,[ 0.76903373 -0.15083369]
2,NLG,[ 0.7794374  -0.14185752]
2,NLR,[ 0.66457988 -0.07224005]
2,NMRX,[ 0.82406134 -0.04836936]
2,NOGC,[ 0.73567363 -0.14400739]
2,NOKL,[ 0.85484257 -0.06311659]
2,NOLR,[ 0.8016441  -0.11486004]
2,NOPB,[ 0.77226429 -0.1368135 ]
2,NOT,[ 0.74439637 -0.16294007]
2,NPR,[ 0.62703919 -0.06858891]
2,NRI,[ 0.86824489 -0.02401326]
2,NSSR,[0.63073532 0.13740097]
2,NSWS,[ 0.83217409 -0.04603989]
2,NVRR,[ 0.87522262 -0.02994709]
2,NVWT,[ 0.91281629 -0.01071492]
2,NWP,[0.95727245 0.02471731]
2,OCE,[ 0.88705952 -0.04230735]
2,OCSR,[ 0.86583576 -0.02548445]
2,OERR,[ 0.91230199 -0.0049139 ]
2,OKCE,[ 0.84817672 -0.08345339]
2,OKKT,[ 0.90569652 -0.02815068]
2,OKT,[ 0.91325741 -0.029045  ]
2,OMTX,[ 0.90028626 -0.01081636]
2,ONW,[ 0.89404632 -0.03792227]
2,OPE,[ 0.90212187 -0.03052739]
2,ORR,[ 0.85374951 -0.06460828]
2,OTR,[0.95060675 0.01839744]
2,OUCH,[ 0.8886844  -0.02230355]
2,PARN,[ 0.95170455 -0.00225752]
2,PCC,[ 0.8068102  -0.05665367]
2,PCMZ,[ 0.85636238 -0.03103192]
2,PCN,[ 0.91582367 -0.01010094]
2,PGBX,[ 0.75954129 -0.12936317]
2,PGR,[0.65181415 0.03796567]
2,PHL,[ 0.83331188 -0.04605118]
2,PMSW,[ 0.89318648 -0.01655029]
2,PNR,[ 0.90074345 -0.01478456]
2,PNW,[ 0.84969098 -0.08267767]
2,PNWR,[ 0.87875553 -0.02128143]
2,POCA,[ 0.86701403 -0.02714892]
2,POTB,[ 0.89819708 -0.02350507]
2,POVA,[ 0.69897883 -0.1608236 ]
2,PRT,[ 0.92806008 -0.00187098]
2,PRTD,[ 0.8984242  -0.03325031]
2,PSAP,[ 0.80571429 -0.05672458]
2,PSR,[0.97043168 0.03665187]
2,PSVR,[ 0.81925572 -0.05326117]
2,PT,[ 0.91557329 -0.01695088]
2,PTO,[ 0.89943534 -0.02829801]
2,PTOZ,[ 0.81884717 -0.04876036]
2,PTRA,[ 0.92540903 -0.00877996]
2,PTRI,[ 0.76237998 -0.1314839 ]
2,PVS,[ 0.93282472 -0.01071243]
2,QAP,[ 0.93778575 -0.00693048]
2,QRR,[0.93714385 0.00530133]
2,RARW,[ 0.69646987 -0.15833965]
2,RASX,[ 0.84490512 -0.05805952]
2,RCIB,[ 0.89164883 -0.0197968 ]
2,RCPE,[0.59512016 0.42302446]
2,RCXM,[ 0.89675771 -0.0129398 ]
2,RI,[ 0.61697425 -0.16494409]
2,RJCA,[ 0.88967393 -0.02182158]
2,RLST,[ 0.89719878 -0.01642207]
2,RPRC,[ 0.82672414 -0.04933709]
2,RRRR,[ 0.84386676 -0.04237666]
2,RSIX,[ 0.83631083 -0.04587047]
2,RTDC,[ 0.85928532 -0.03067872]
2,RTDZ,[ 0.85880521 -0.03012356]
2,RVRR,[ 0.92942142 -0.00323858]
2,RVSC,[ 0.90423518 -0.01158844]
2,SAV,[ 0.80988792 -0.05947136]
2,SCAX,[ 0.87440107 -0.02112596]
2,SCBG,[ 0.90439889 -0.01517041]
2,SCR,[ 0.79632439 -0.06173464]
2,SCRT,[ 0.83654744 -0.04291801]
2,SCX,[ 0.79472813 -0.0666692 ]
2,SCXY,[0.6081091 0.1741146]
2,SDAE,[0.96991252 0.03629784]
2,SDIY,[ 0.91620289 -0.00570718]
2,SDNX,[ 0.84088338 -0.04210334]
2,SDTI,[ 0.84426282 -0.03844697]
2,SEKR,[ 0.87621732 -0.04114891]
2,SERA,[0.93801055 0.01080803]
2,SFB,[0.97280715 0.03899914]
2,SFBR,[0.94430106 0.011867  ]
2,SFS,[ 0.85152841 -0.0394024 ]
2,SGSC,[ 0.89675771 -0.0129398 ]
2,SI,[ 0.70504534 -0.15262293]
2,SJT,[ 0.7497934 -0.1499101]
2,SJVR,[ 0.86407675 -0.03121701]
2,SKOL,[ 0.87603268 -0.02710769]
2,SL,[0.93727371 0.02346357]
2,SLAL,[ 0.89284209 -0.01552586]
2,SLC,[ 0.86979398 -0.03357535]
2,SLGG,[ 0.79417879 -0.08600626]
2,SLGW,[ 0.89329237 -0.01304263]
2,SLOI,[ 0.63408903 -0.07037628]
2,SLRG,[ 0.86363978 -0.02943557]
2,SLSF,[ 0.63668257 -0.22892837]
2,SLWC,[ 0.87193888 -0.02699989]
2,SMA,[0.93551851 0.00729574]
2,SMRR,[ 0.75038933 -0.05901993]
2,SMRT,[ 0.83334718 -0.04489333]
2,SMV,[0.95539143 0.02285943]
2,SNCT,[ 0.63881102 -0.19038637]
2,SNVX,[ 0.79872613 -0.06102047]
2,SO,[ 0.91992772 -0.00811709]
2,SP,[ 0.9274541  -0.01032351]
2,SRN,[ 0.92361411 -0.0131586 ]
2,SRRR,[ 0.83656671 -0.02881192]
2,SS,[ 0.85513446 -0.07653498]
2,SSC,[ 0.91846347 -0.00872709]
2,SSW,[ 0.80628649 -0.10772531]
2,STE,[0.95525574 0.02303408]
2,STMA,[ 0.86666715 -0.0422099 ]
2,STPP,[ 0.81005409 -0.05143214]
2,SW,[ 0.88034933 -0.02030392]
2,SWGR,[ 0.92382746 -0.00831276]
2,TCG,[0.95205566 0.01511679]
2,TCT,[ 0.92814479 -0.00877932]
2,TELX,[ 0.92597696 -0.006373  ]
2,TEXC,[ 0.93325102 -0.00777837]
2,TEXR,[ 0.90687349 -0.00732084]
2,TIBR,[ 0.89099959 -0.02003535]
2,TM,[ 0.92815054 -0.00805963]
2,TMBL,[ 0.70371258 -0.14046766]
2,TMEV,[ 0.86997639 -0.0251288 ]
2,TN,[ 0.92870615 -0.01054224]
2,TNER,[ 0.91954908 -0.00787539]
2,TNM,[ 0.94163431 -0.00233669]
2,TNMR,[ 0.91463056 -0.01035429]
2,TNOX,[ 0.92046823 -0.01120279]
2,TOE,[ 0.85466531 -0.07601644]
2,TP,[ 0.91158212 -0.03432731]
2,TPMO,[ 0.87731269 -0.01917611]
2,TPMP,[ 0.7610269  -0.15627639]
2,TRC,[0.96326539 0.02886573]
2,TRE,[ 0.89610992 -0.0147298 ]
2,TREX,[ 0.89586344 -0.01532035]
2,TRMW,[ 0.82010167 -0.04773746]
2,TSE,[ 0.91309988 -0.01017247]
2,TSHX,[ 0.92046823 -0.01120279]
2,TSU,[ 0.86026546 -0.06724191]
2,TSWR,[ 0.81043604 -0.05136976]
2,TSWS,[ 0.88050528 -0.02792798]
2,TXGN,[ 0.89208002 -0.01711123]
2,TXN,[ 0.87976622 -0.00917637]
2,TXNW,[ 0.90841007 -0.01770591]
2,TXPF,[ 0.89651006 -0.01420586]
2,TXTX,[ 0.89817835 -0.01364055]
2,UCRY,[0.92693788 0.01693012]
2,UFRC,[0.93804055 0.0269107 ]
2,UP,[ 0.82419946 -0.0722896 ]
2,UT,[ 0.75069324 -0.14281074]
2,UTAH,[ 0.90380258 -0.0113067 ]
2,UTAX,[0.91521655 0.00671017]
2,VCRR,[ 0.81200945 -0.05676249]
2,VCY,[0.95957367 0.02593183]
2,VMTR,[ 0.84818893 -0.03580723]
2,VTAZ,[ 0.8339914  -0.04427222]
2,WATX,[ 0.89507737 -0.01519492]
2,WCRC,[ 0.69731511 -0.15748334]
2,WFCX,[ 0.87201622 -0.02419246]
2,WFS,[ 0.83771222 -0.04037715]
2,WI,[ 0.89571293 -0.01443643]
2,WMWN,[ 0.93757625 -0.00691523]
2,WP,[0.966125   0.03433792]
2,WPRR,[ 0.89542452 -0.01382608]
2,WPSX,[ 0.91537301 -0.01104949]
2,WRL,[ 0.81005409 -0.05143214]
2,WRSX,[ 0.8886844  -0.02230355]
2,WSR,[ 0.85751288 -0.07408657]
2,WTA,[ 0.88313729 -0.02970274]
2,WTJR,[ 0.91027551 -0.0151017 ]
2,WTLC,[ 0.89360236 -0.01687515]
2,WTLR,[ 0.91392342 -0.00976536]
2,WVR,[ 0.90054549 -0.01514675]
2,WWR,[ 0.79940873 -0.06112116]
2,WWV,[ 0.91541436 -0.01895191]
2,WYCO,[ 0.80259714 -0.0993021 ]
2,XTGS,[ 0.89130292 -0.01824884]
2,YSLR,[ 0.85662104 -0.03995857]
2,YSVR,[ 0.80940222 -0.05626191]
2,YVT,[ 0.59810791 -0.20310339]
3,AVL,[0.1482504  1.14788191]
3,BAR,[0.14257141 1.1455306 ]
3,BCLR,[0.0299098  1.08948683]
3,BM,[0.03729656 1.10265573]
3,BML,[0.14817544 1.14799886]
3,BMS,[0.10005902 1.13471283]
3,CCCL,[-0.04331895  1.05708754]
3,CCCX,[0.02769549 1.08726871]
3,CCH,[0.00842786 1.08948757]
3,CCRX,[0.03631574 1.05993812]
3,CDAC,[0.1400771 1.1445376]
3,CLP,[0.08483518 1.12292104]
3,CMQX,[0.14504839 1.13900346]
3,CN,[0.11897619 1.12328287]
3,CONW,[0.14028095 1.1457335 ]
3,CP,[0.04221199 0.85907343]
3,CPVM,[0.03736334 1.10682371]
3,CSO,[-0.08960731  1.02935568]
3,CTHS,[-0.03309296  1.05839809]
3,CV,[0.03339898 1.10129754]
3,DTRR,[-0.04515821  1.05336834]
3,EMRY,[0.13647967 1.12689406]
3,FOR,[0.01250566 1.09679403]
3,GMRC,[0.07885687 1.12097262]
3,GRI,[0.11307431 1.13408242]
3,GRS,[0.10142138 1.1293668 ]
3,GU,[0.00946761 1.09374241]
3,HRRC,[0.0049259  1.07628866]
3,LVRC,[0.07230973 1.11981926]
3,MB,[0.0901081  1.12962739]
3,MBRX,[0.15329917 1.15178934]
3,MBTA,[0.02315301 1.08245354]
3,MC,[0.13828709 1.1464603 ]
3,MCER,[0.0363097  1.09176544]
3,MCRL,[0.02312183 1.0930136 ]
3,MEC,[0.13981498 1.14375896]
3,MERR,[0.14406333 1.1492359 ]
3,MMA,[0.13862696 1.14629875]
3,MNR,[0.14449353 1.14391068]
3,NECR,[0.05454151 1.10246868]
3,NEGS,[0.09410899 1.13403952]
3,NHN,[0.14392864 1.14785368]
3,NHVT,[0.13400681 1.14543305]
3,PLL,[0.14745166 1.15005288]
3,PTM,[0.14816901 1.14775114]
3,PVRR,[0.040689   1.09037377]
3,PW,[-0.02345433  1.06307699]
3,SJL,[0.10740053 1.13637385]
3,SLR,[0.14012349 1.14641549]
3,SRP,[0.13663703 1.14646574]
3,ST,[0.09855072 1.12675795]
3,VALE,[-0.09086623  1.03156752]
3,VNOR,[0.1104079  1.13933743]
3,VNRC,[0.08118929 1.12549912]
3,VTR,[0.08682216 1.12459485]
3,WACR,[0.08598973 1.11491762]
3,WRC,[0.0877899  1.13099571]
