Cluster,Node,Coordinates
0,EJE,[-0.43919177 -0.15839677]
0,EL,[-0.66052737  0.15702719]
0,ELS,[-0.47803493 -0.12495613]
0,ESHR,[-0.652886   -0.09932332]
0,ESPN,[-0.71872823 -0.00158859]
0,ETRY,[-0.5536732  -0.19753533]
0,EV,[-0.73305718  0.07313718]
0,EVWR,[-0.44746346 -0.18460921]
0,EW,[-0.74138479  0.09136086]
0,EWR,[-0.65726918 -0.03475319]
0,FCEN,[-0.62734702 -0.18006447]
0,FCIN,[-0.60407319 -0.15240438]
0,FCR,[-0.65580429 -0.13065553]
0,FCRD,[-0.63817319 -0.17964316]
0,FEC,[-0.60373289 -0.2198626 ]
0,FGLK,[-0.64832544  0.39956141]
0,FIR,[-0.67982349 -0.09494996]
0,FJG,[-0.69881991  0.30034405]
0,FJPX,[-0.5316932 -0.2018769]
0,FMID,[-0.63010405 -0.17928902]
0,FNOR,[-0.62103669 -0.18479866]
0,FPE,[-0.7186732   0.08928069]
0,FRDN,[-0.68029278  0.02788733]
0,FRR,[-0.65723598  0.36065171]
0,FWCR,[-0.63337728 -0.17843261]
0,GA,[-0.63831806 -0.23394909]
0,GAAB,[-0.62107971 -0.18420126]
0,GANO,[-0.64238003 -0.21461615]
0,GC,[-0.65536954 -0.14390194]
0,GDLK,[-0.63407912 -0.06700962]
0,GET,[-0.69828771 -0.06471359]
0,GETY,[-0.73681629  0.1297383 ]
0,GFRR,[-0.65561811 -0.13624615]
0,GIMY,[-0.65548164 -0.13154407]
0,GITM,[-0.65731887 -0.13055911]
0,GJ,[-0.67928281  0.347188  ]
0,GLC,[-0.63994017 -0.04977527]
0,GM,[-0.64470951 -0.23137171]
0,GMR,[-0.65268342 -0.13114597]
0,GMRY,[-0.68734848 -0.04470264]
0,GMSR,[-0.40754684 -0.29371206]
0,GNRR,[-0.65657828 -0.15321233]
0,GNWR,[-0.66369716  0.3993956 ]
0,GR,[-0.6476123  -0.06359139]
0,GRLW,[-0.61099894 -0.14498218]
0,GRN,[-0.6261058  -0.20610276]
0,GRRW,[-0.6662438  -0.10641395]
0,GRW,[-0.63653078 -0.10161289]
0,GRWR,[-0.65611623 -0.15092015]
0,GS,[-0.65457238 -0.13141676]
0,GSF,[-0.63426187 -0.217186  ]
0,GSM,[-0.62657472 -0.15831549]
0,GSRX,[-0.73068774  0.02316059]
0,GSWR,[-0.64050362 -0.16120869]
0,GSWY,[-0.65615582 -0.13218951]
0,GTW,[-0.59171733 -0.07121927]
0,HAL,[-0.65580429 -0.13065553]
0,HB,[-0.6334774  -0.15918076]
0,HCRC,[-0.6919079   0.02132848]
0,HCRR,[-0.63947057 -0.06860556]
0,HESR,[-0.65072869 -0.04723324]
0,HIES,[-0.64408039 -0.09620245]
0,HMCR,[-0.56543402 -0.21932137]
0,HMR,[-0.55028234 -0.23628834]
0,HOG,[-0.65461075 -0.13153399]
0,HOS,[-0.61557919 -0.13305879]
0,HPTD,[-0.62709146 -0.18115443]
0,HR,[-0.49516289 -0.22077732]
0,HRT,[-0.65437136 -0.15912119]
0,HS,[-0.4717688  -0.22367613]
0,HSRR,[-0.65312825 -0.1271299 ]
0,HVMV,[-0.63435914 -0.12246459]
0,HVSR,[-0.68846169 -0.08658678]
0,IHB,[-0.42103269 -0.16623047]
0,IHRC,[-0.63942687 -0.04053477]
0,ILRV,[-0.64257992 -0.17478134]
0,IN,[-0.63936491 -0.07968738]
0,INOH,[-0.69973382  0.04482837]
0,INRD,[-0.52739266 -0.13630491]
0,INS,[-0.63908699 -0.08102216]
0,INT,[-0.66998746 -0.09411628]
0,IOCR,[-0.69676594 -0.00494597]
0,IOER,[-0.69617439  0.02385898]
0,IORX,[-0.67288203 -0.08095733]
0,IORY,[-0.68445395 -0.04066818]
0,ISRR,[-0.64045183 -0.08272305]
0,ITMZ,[-0.63754933 -0.09314195]
0,IU,[-0.67367318  0.01854027]
0,JAIL,[-0.69042169 -0.0467768 ]
0,JEFW,[-0.56190628 -0.2102294 ]
0,JSC,[-0.75696445  0.18185083]
0,JSRW,[-0.75371885  0.18728776]
0,JVRR,[-0.71692156 -0.006608  ]
0,JXPT,[-0.61553133 -0.19059564]
0,KCNW,[-0.68287934 -0.02252093]
0,KIT,[-0.59713625 -0.15378581]
0,KKRR,[-0.73968133  0.09839345]
0,KLSC,[-0.6776905  -0.02192782]
0,KNWA,[-0.66149952 -0.11262065]
0,KRM,[-0.65803162 -0.12537312]
0,KWT,[-0.58040971 -0.17743816]
0,KXHR,[-0.53023492 -0.20244258]
0,LAL,[-0.7145604   0.25658439]
0,LASB,[-0.73833831  0.1366583 ]
0,LBR,[-0.68400065  0.36207338]
0,LC,[-0.63065997 -0.18987778]
0,LDRT,[-0.71874139  0.09999848]
0,LEF,[-0.74015478  0.14768279]
0,LI,[-0.60579643  0.50238294]
0,LIRC,[-0.63110733 -0.096442  ]
0,LN,[-0.47591385 -0.21521417]
0,LNAC,[-0.67179129 -0.00423281]
0,LNAL,[-0.63908699 -0.08102216]
0,LNE,[-0.75793697  0.1823219 ]
0,LPSG,[-0.64005832 -0.22374164]
0,LRS,[-0.63563376 -0.18055967]
0,LRWY,[-0.70713336 -0.0070489 ]
0,LSI,[-0.69760745  0.02719162]
0,LSRC,[-0.6484811  -0.05803914]
0,LSX,[-0.71077934 -0.04164068]
0,LT,[-0.71870051  0.08329774]
0,LV,[-0.7337296  0.2812786]
0,LVAL,[-0.7442994   0.13079166]
0,LVRR,[-0.71257929 -0.01319842]
0,LVRX,[-0.71413962 -0.01960762]
0,MACZ,[-0.67211253 -0.09152299]
0,MAUP,[-0.62909638 -0.17757622]
0,MAW,[-0.67916479 -0.07686607]
0,MBRR,[-0.42161847 -0.28914586]
0,MDDE,[-0.71716832  0.04681664]
